brand,categories,features.value,manufacturer,name
Spice Islands,"Baking,Food,Baking Mixes,Grocery","Ginger Was One Of The First Oriental Spices Used In The Western World When It Was Brought From The East By The Fabled Spice Caravans. For An Asian Flair,Mix Ground Ginger With Soy Sauce,Toasted Spice Islands Sesame Seeds And Minced Garlic Drizzle Over Vegetables,Chicken Or Steak. Blend With Butter And Brown Sugar Pour Over Cooked Carrots Or Winter Squash And Broil. Use Ground Ginger To Flavor Marinades,Curries,And Baked Goods.",Spice Island,Ginger Ground
Bonne Maman,"Baking,Food,Baking Mixes,Grocery","Grape (Juice And Concentrated Juice),Sugar,Cane Sugar Concentrated Lemon Juice,Fruit Pectin.",Bonne Maman,"Bonne Maman Muscat Grape Jelly, 13 Oz"
Tone's,"Baking,Food,Baking Mixes,Grocery","Chili Pepper and Other Spices,Salt and Garlic Powder",Ach Food Companies,"Tone's: Powder Mild Chili, .65 Oz"
Chicken of the Sea,"Baking,Food,Baking Mixes,Grocery","Chunk White Tuna,Water,Vegetable Broth (Contains Soy),And Salt.",Chicken of The Sea International,"Chicken of The Sea Chunk White Tuna In Water To-go Cups, 2.8 Oz, 2 Count"
FRENCHS,"Baking,Food,Baking Mixes,grocery","Cornstarch,Chili Pepper and Other Spices,Maltodextrin,Salt,Dehydrated Onion,Dehydrated Garlic,Paprika (as Color),Red Pepper,Disodium Inosinate,Paprika Extractives (as Color),.",Top Selling Items,"Frenchs Seasoning Mix, Taco, Original"
Alessi,"Baking,Food,Baking Mixes,Grocery","Garlic,Soybean Oil,Alessi Extra Virgin Olive Oil,Alessi Sea Salt,Phosphoric Acid,Sodium Benzoate and Potassium Sorbate,as Preservatives.",VIGO IMPORTING COMPANY INC,"Alessi Spread, Roasted Garlic"
Frito-Lay,"Baking,Food,Baking Mixes,Grocery",Peanuts And Salt. Contains Peanut Ingredients. Allergy Information: This Product Is Made On Equipment That Also Makes Products Containing Tree Nuts.,Frito-Lay,"Frito-lay Salted In-shell Peanuts, 4.5 Oz"
Polaner All Fruit,"Baking,Food,Baking Mixes,Grocery","Juice Concentrates (Pear, Grape, Pineapple),Apricots,Citric Acid,Fruit Pectin,Natural Flavor.",B&G Foods,Polaner All Fruit Apricot Spreadable Fruit 10 Oz  (pack of 12)
Manischewitz,"Baking,Food,Baking Mixes,grocery","Chicken Stock,Salt Flavorings,Chicken Fat,Yeast Extract,Sugar,Vegetable Juice Concentrate (Carrot, Celery and Onion),.",MANISCHEWITZ,Manischewitz B58089 Manischewitz Natural Chicken Broth-12x14 Oz
MCCORMICK CALIFORNIA STYLE,"Baking,Food,Baking Mixes,Grocery","Garlic,Sunflower Oil,and Parsley.","McCormick & Co., Inc.","Dry Onion & Garlic: Coarse Grind Blend W/parsley California Style Garlic Powder, 6 Oz"
